Community ID,flow0,flow1,flow2,flow3,flow4,flow5,flow6,flow7,flow8,flow9,flow10,flow11,flow12,flow13,flow14,flow15,flow16,flow17,flow18,flow19,flow20,flow21,flow22,flow23,flow24,flow25,flow26,flow27,flow28,flow29,flow30,flow31,flow32,flow33,flow34,flow35,flow36,flow37,flow38,flow39,flow40,flow41,flow42,flow43,flow44,flow45,flow46,flow47
199,0.0042,0.0108,0.0178,0.0256,0.0415,0.0739,0.1424,0.2164,0.2987,0.393,0.5032,0.6126,0.7224,0.8288,0.9294,1.0169,1.0995,1.1906,1.2676,1.3331,1.3701,1.3993,1.4199,1.4278,1.4325,1.4412,1.4508,1.4621,1.4775,1.5032,1.5583,1.6271,1.7165,1.8072,1.905,2.0177,2.104,2.2012,2.2962,2.4004,2.4997,2.5966,2.6701,2.7444,2.8032,2.8435,2.8745,2.8878
200,0.0571,0.1338,0.2045,0.2665,0.3427,0.4752,0.6847,1.0168,1.3439,1.589,1.8416,2.0173,2.1824,2.3591,2.5359,2.7085,2.9082,3.1218,3.3543,3.6499,3.9296,4.159,4.3265,4.4114,4.4786,4.5562,4.6093,4.6598,4.7262,4.8418,5.0497,5.3939,5.7172,5.9624,6.1707,6.3666,6.5292,6.6802,6.8463,7.0191,7.2036,7.4169,7.6477,7.9459,8.244,8.4766,8.6562,8.7492
201,0.057,0.1421,0.2157,0.2912,0.3932,0.5858,0.943,1.4333,1.8687,2.2343,2.5624,2.8829,3.167,3.4431,3.7356,4.0011,4.2901,4.6219,4.9277,5.252,5.5673,5.8142,6.0118,6.1082,6.1603,6.2377,6.3105,6.385,6.4896,6.6897,7.0715,7.5637,7.9889,8.3361,8.666,8.9644,9.218,9.4924,9.775,10.0498,10.3265,10.6436,10.9782,11.355,11.6901,11.9674,12.1846,12.2912
202,0.3552,0.7395,1.0534,1.3521,1.7101,2.3403,3.5819,5.6783,8.0119,10.2387,12.2579,14.0911,15.6256,17.0099,18.4968,20.1045,21.8158,23.6515,25.5246,27.4276,29.0947,30.4717,31.5253,32.0282,32.3346,32.7134,33.0329,33.3325,33.6746,34.322,35.6222,37.7903,40.1685,42.344,44.362,46.2765,47.7286,49.0953,50.5137,52.1272,53.7726,55.5814,57.4051,59.3164,61.1534,62.6491,63.8031,64.368
203,0.0835,0.2008,0.3059,0.4056,0.5234,0.7476,1.1537,1.7954,2.4427,3.0012,3.4798,3.9618,4.3719,4.793,5.2431,5.6723,6.1325,6.663,7.2027,7.7818,8.3398,8.8362,9.2074,9.3722,9.4598,9.5839,9.6942,9.7932,9.9179,10.1303,10.5478,11.1876,11.825,12.3943,12.8928,13.3722,13.7892,14.2076,14.6406,15.0795,15.5308,16.043,16.5765,17.1851,17.7883,18.2808,18.6219,18.7866
204,0.0224,0.0558,0.0887,0.1271,0.1653,0.2245,0.3482,0.4994,0.6551,0.8189,0.9822,1.1629,1.3185,1.475,1.6629,1.8369,2.0084,2.1972,2.3494,2.4846,2.5871,2.6613,2.717,2.7476,2.7666,2.7955,2.8269,2.8578,2.8895,2.9465,3.0671,3.2137,3.3719,3.5393,3.7157,3.9178,4.0774,4.2287,4.4091,4.5714,4.7213,4.8822,5.0318,5.1787,5.299,5.398,5.4714,5.505
205,0.0057,0.0143,0.0192,0.0283,0.041,0.0794,0.1397,0.2043,0.2701,0.3295,0.3884,0.4591,0.5067,0.5564,0.6227,0.6773,0.743,0.823,0.8808,0.931,0.9669,0.9904,1.0085,1.0154,1.0191,1.0261,1.031,1.0383,1.0493,1.0876,1.154,1.2157,1.2792,1.348,1.4082,1.4744,1.5256,1.5796,1.6432,1.7069,1.773,1.8516,1.9143,1.9809,2.0241,2.0587,2.0851,2.0954
206,0.2928,0.6298,0.9154,1.1934,1.54,2.2028,3.3741,5.139,6.8102,8.1815,9.3527,10.4763,11.4717,12.5063,13.5394,14.6075,15.7258,16.9289,18.1774,19.5776,21.0215,22.1773,23.0074,23.3904,23.6226,23.9452,24.2358,24.4998,24.8315,25.4542,26.733,28.4867,30.1224,31.4646,32.6377,33.7635,34.727,35.7172,36.7496,37.8228,38.9266,40.0861,41.2944,42.7255,44.2539,45.4969,46.4506,46.8856
207,1.8225,4.3553,6.6903,8.9837,11.4537,14.7308,19.4584,26.189,33.0115,38.5512,43.4584,48.2176,52.5843,56.9685,61.3387,65.8289,70.6639,76.0669,81.6717,87.6915,93.6187,98.9114,103.2814,105.6132,107.3216,109.5528,111.5202,113.4701,115.5349,118.4537,123.005,129.3962,135.8761,141.1783,145.8735,150.5264,154.6866,158.9152,163.1968,167.6464,172.2917,177.5562,183.0603,189.1471,195.4281,200.9726,205.6535,208.1556
208,0.0458,0.1135,0.1819,0.256,0.3325,0.4469,0.5942,0.77,0.9501,1.1127,1.2702,1.4473,1.6006,1.7635,1.9343,2.1027,2.2893,2.4705,2.631,2.7906,2.9256,3.0342,3.1259,3.1714,3.2142,3.2628,3.3242,3.3947,3.4749,3.5808,3.7328,3.9056,4.072,4.2325,4.3926,4.5614,4.704,4.8579,5.0035,5.1637,5.3415,5.5205,5.6854,5.8523,5.9902,6.1113,6.2168,6.2736
209,0.0182,0.0391,0.0598,0.0841,0.1194,0.2051,0.3653,0.5741,0.7558,0.9348,1.1208,1.3322,1.5213,1.7147,1.9105,2.1052,2.2869,2.4758,2.6381,2.7909,2.9103,3.0129,3.0821,3.1134,3.1357,3.1629,3.1841,3.2072,3.2407,3.327,3.495,3.7256,3.974,4.2347,4.5303,4.8233,5.0392,5.2291,5.4184,5.6176,5.8183,6.016,6.1832,6.3644,6.508,6.6252,6.7158,6.7488
