Community ID,hci0,hci1,hci2,hci3,hci4,hci5,hci6,hci7,hci8,hci9,hci10,hci11,hci12,hci13,hci14,hci15,hci16,hci17,hci18,hci19,hci20,hci21,hci22,hci23,hci24,hci25,hci26,hci27,hci28,hci29,hci30,hci31,hci32,hci33,hci34,hci35,hci36,hci37,hci38,hci39,hci40,hci41,hci42,hci43,hci44,hci45,hci46,hci47,hci48,hci49
315,25,27.16598172,29.63463792,32.46195061,35.71675897,39.4842964,43.87086643,49.01007928,55.07124937,62.27081607,70.88804229,81.28683852,93.94646971,109.5053185,128.8241178,153.0786638,183.8979135,223.5731904,275.3809452,344.0906071,436.7808787,564.1825194,742.9435301,999.5569541,1377.38011,1949.601381,2844.087629,4292.971601,6736.195248,11048.96566,19070.79509,34918.36906,68493.83966,145693.7872,341209.6158,896912.1144,2712512.454,9748479.998,43468829.4,255057621.5,2138344991,28850161644,7.49E+11,4.95E+13,1.33E+16,3.36E+19,4.30E+24,1.41E+33,1.54E+50,2.07E+101
316,20,21.70856924,23.6574434,25.89147125,28.46590697,31.44930372,34.92734911,39.00799579,43.82839074,49.56432991,56.44329922,64.76267055,74.91540427,87.42683297,103.0080459,122.6345351,147.663934,180.0153529,222.4476679,279.00014,355.7054098,461.7708566,611.5870595,828.2398961,1149.844404,1641.361947,2417.490174,3688.884987,5859.929088,9746.568143,17090.96341,31860.9931,63790.56013,138907.1616,334192.1572,906200.4027,2841401.516,10652872.37,49936611.04,311051603.8,2803659534,41358710315,1.20E+12,9.18E+13,2.99E+16,9.95E+19,1.92E+25,1.26E+34,5.45E+51,4.59E+104
317,56,63.17437632,71.68232586,81.83996651,94.05440479,108.8546327,126.9345674,149.2136837,176.9234506,211.7321244,255.927351,312.6872123,386.4887377,483.7337287,613.7243831,790.2130012,1033.91365,1376.662186,1868.469735,2589.789345,3673.444177,5345.019291,7999.73783,12354.11563,19757.15511,32857.29198,57102.35718,104298.9249,201581.0976,415589.2375,922833.282,2233111.407,5973635.193,17979705.85,62249320.52,254944083.2,1280367711,8264777695,73007957006,9.61E+11,2.13E+13,9.40E+14,1.08E+17,4.79E+19,1.64E+23,1.46E+28,3.92E+35,9.52E+47,5.70E+72,1.26E+147
318,19,20.59797735,22.41429121,24.48847873,26.86897928,29.61553768,32.8023674,36.52235007,40.89266303,46.06239422,52.22295403,59.62246927,68.58591714,79.54364328,93.07229863,109.9544502,131.2667263,158.5123217,193.8237564,240.2791384,302.4058129,387.0006851,504.4994669,671.3241343,914.0271264,1276.847098,1835.983462,2727.648951,4205.674444,6765.76127,11428.7528,20428.27465,39003.95804,80479.63806,182088.8981,460156.5242,1329974.67,4534753.648,19009838.28,103653266.3,795459854.4,9628460396,2.18E+11,1.21E+13,2.57E+15,4.67E+18,3.64E+23,5.23E+31,1.09E+48,1.02E+97
319,55,62.4239796,71.27958577,81.91682822,94.7892514,110.4899781,129.8022503,153.7711175,183.8063641,221.8322126,270.508071,333.5588394,416.2769278,526.2980894,674.8220312,878.5699561,1162.989318,1567.618228,2155.28281,3028.280972,4357.673598,6437.950963,9792.533832,15384.99506,25059.36363,42499.79196,75428.12622,140920.7846,279089.5843,590810.009,1350261.816,3372063.4,9338719.609,29208294.2,105546503.6,453554436.9,2405313045,16524773494,1.57E+11,2.25E+12,5.50E+13,2.75E+15,3.66E+17,1.98E+20,8.78E+23,1.12E+29,5.16E+36,3.07E+49,1.10E+75,5.17E+151
320,43,47.92447736,53.6909658,60.48488612,68.54153628,78.16198442,89.73484044,103.7663945,120.9228027,142.0898354,168.4585629,201.6498869,243.8981117,298.3256811,369.3610732,463.3855926,589.7533027,762.4320118,1002.701362,1343.69428,1838.238132,2572.772876,3692.812873,5451.090882,8301.952997,13093.98834,21480.91749,36842.26291,66462.94565,127022.2839,259417.6648,572110.9449,1379979.747,3698564.653,11233930.82,39648177.72,167905002.9,889821114.1,6241271736,62539635808,9.96E+11,2.95E+13,2.04E+15,4.74E+17,6.82E+20,1.81E+25,7.85E+31,9.14E+42,1.25E+65,3.31E+131
321,35,38.66168348,42.90919999,47.86431556,53.67987488,60.54923142,68.71900761,78.50653344,90.32393082,104.7117495,122.3865026,144.3086977,171.7815182,206.5960299,251.2481531,309.2682377,385.7305935,488.0563306,627.3045206,820.2951668,1093.184617,1487.64619,2071.862383,2960.691742,4353.952302,6611.879889,10410.17365,17073.63192,29332.0865,53135.23626,102303.9942,211371.2355,474178.9972,1171874.504,3248895.644,10339007.31,38898393.53,179829123.6,1075518231,8926616717,1.13E+11,2.54E+12,1.25E+14,1.86E+16,1.48E+19,1.71E+23,2.14E+29,3.13E+39,6.79E+59,7.08E+120
322,47,52.99253386,60.08965253,68.55064826,78.70868126,90.99559859,105.9764028,124.3976538,147.2562357,175.8982796,212.1633563,258.5976351,318.7737523,397.7785669,502.9697845,645.171451,840.6005903,1114.038959,1504.176007,2072.836059,2921.34948,4220.464901,6266.7837,9593.038711,15192.06993,24991.50686,42908.38181,77318.4977,147188.1662,298339.738,649947.6608,1539266.63,4018407.326,11764005.76,39458274.58,155814606.7,750142686.3,4608861886,38408027628,4.72E+11,9.59E+12,3.82E+14,3.84E+16,1.44E+19,3.93E+22,2.55E+27,4.22E+34,4.59E+46,5.48E+70,9.57E+142
323,38,42.11768489,46.91741619,52.54590385,59.18858297,67.08175801,76.52917697,87.92488778,101.7851065,118.7931726,139.8637562,166.2357837,199.6088303,242.3463473,297.7833873,370.7006639,468.0685198,600.2380037,782.8892622,1040.293868,1410.916911,1957.30491,2784.069406,4071.685282,6142.341604,9593.440707,15580.40672,26445.81929,47197.58634,89201.88517,180072.3628,392328.4739,934317.8317,2470527.659,7396806.623,25706056.84,107057867.4,557071510.2,3828845437,37499645097,5.82E+11,1.67E+13,1.11E+15,2.47E+17,3.35E+20,8.20E+24,3.17E+31,3.04E+42,2.85E+64,2.43E+130
324,30,33.09196804,36.67243321,40.84174124,45.72556494,51.48250703,58.31436029,66.48008974,76.31508619,88.25797161,102.8883575,120.9806973,143.5821162,172.126498,208.6042657,255.8191696,317.7834865,400.3377176,512.142116,666.2981158,883.063224,1194.515017,1652.790968,2345.098017,3421.987469,5152.625697,8037.345298,13047.49172,22163.12084,39649.00793,75283.61989,153148.7773,337641.1579,818242.8641,2218650.419,6883695.623,25154235.51,112419836,646196011.6,5116420462,61426527250,1.28E+12,5.76E+13,7.69E+15,5.26E+18,4.93E+22,4.49E+28,3.87E+38,2.90E+58,1.25E+118
325,24,26.16561171,28.65085754,31.51816017,34.84505761,38.72858187,43.29112031,48.68833738,55.11998983,62.84485201,72.20154964,83.63799631,97.75352673,115.3600418,137.5720644,165.9414909,202.6626748,250.890306,315.2419281,402.6094322,523.5000952,694.3089831,941.2762375,1307.587508,1866.538552,2746.840265,4183.240652,6622.382046,10955.38677,19058.04482,35126.49418,69223.33928,147490.6806,344460.7077,897092.902,2662594.922,9261639.267,39162137.5,211355481.1,1555965295,17149170958,3.24E+11,1.28E+13,1.46E+15,8.08E+17,5.65E+21,3.34E+27,1.41E+37,2.54E+56,1.56E+114
326,61,70.68574722,82.49544921,97.010728,115.0041454,137.5125065,165.9425285,202.2251108,249.0436226,310.1765902,391.0200226,499.3965859,646.8311041,850.5988007,1137.080525,1547.377614,2146.926681,3042.377016,4412.021179,6562.279422,10035.90656,15826.53846,25820.38737,43743.88338,77291.30238,143147.7006,279527.0407,579477.7082,1285742.369,3083037.26,8082673.064,23495692.49,77044343.83,291092198.2,1301308046,7118433811,49751775428,4.70E+11,6.48E+12,1.44E+14,5.98E+15,5.70E+17,1.70E+20,2.60E+23,4.61E+27,4.10E+33,3.46E+42,2.64E+57,1.55E+87,3.21E+176
327,47,52.56378844,59.09953809,66.82522305,76.01841827,87.03558015,100.3385611,116.5314617,136.4124317,161.047358,191.8760297,230.8671753,280.7481581,345.3505656,430.1388064,543.0330422,695.7149008,905.7419843,1200.048535,1620.880931,2236.125436,3157.791704,4576.124707,6824.712811,10509.43404,16774.4525,27876.24786,48486.13369,88816.28263,172610.3289,359077.7695,808194.6611,1994077.584,5481491.235,17130717.57,62446136.47,274411472.7,1517689242,11189308610,1.19E+11,2.03E+12,6.56E+13,5.05E+15,1.35E+18,2.34E+21,8.06E+25,5.17E+32,1.16E+44,5.85E+66,7.75E+134
